value	from	to
1	Адыгея	Адыгея
0,825534406	Алтай	Адыгея
0,892832252	Алтайский край	Адыгея
0,914035907	Амурская обл.	Адыгея
0,936524378	Архангельская обл.	Адыгея
0,82151965	Астраханская обл.	Адыгея
0,728797666	Башкортостан	Адыгея
0,883100357	Белгородская обл.	Адыгея
0,829451257	Брянская обл.	Адыгея
0,829035852	Бурятия	Адыгея
0,832008086	Владимирская обл.	Адыгея
0,84320232	Волгоградская обл.	Адыгея
0,810508489	Вологодская обл.	Адыгея
0,813900584	Воронежская обл.	Адыгея
0,801082038	Дагестан	Адыгея
0,81757036	Еврейская АО	Адыгея
0,876837165	Забайкальский край	Адыгея
0,905809626	Ивановская обл.	Адыгея
0,899111761	Ингушетия	Адыгея
0,86868205	Иркутская обл.	Адыгея
0,906060525	Кабардино-Балкария	Адыгея
0,813242646	Калининградская обл.	Адыгея
0,696215522	Калмыкия	Адыгея
0,885872283	Калужская обл.	Адыгея
0,895468811	Камчатский край	Адыгея
0,889673034	Карачаево-Черкессия	Адыгея
0,812966452	Карелия	Адыгея
0,850817279	Кемеровская обл.	Адыгея
0,857767636	Кировская обл.	Адыгея
0,898554589	Коми	Адыгея
0,843684721	Костромская обл.	Адыгея
0,802950237	Краснодарский край	Адыгея
0,910401432	Красноярский край	Адыгея
0,777905375	Крым	Адыгея
0,852827988	Курганская обл.	Адыгея
0,80996842	Курская обл.	Адыгея
0,822115355	Ленинградская обл.	Адыгея
0,792268745	Липецкая обл.	Адыгея
0,863712934	Магаданская обл.	Адыгея
0,837888922	Марий Эл	Адыгея
0,929942527	Мордовия	Адыгея
0,550571906	Москва	Адыгея
0,653254009	Московская обл.	Адыгея
0,861147871	Мурманская обл.	Адыгея
0,785321991	Ненецкий АО	Адыгея
0,864597809	Нижегородская обл.	Адыгея
0,895267388	Новгородская обл.	Адыгея
0,892878124	Новосибирская обл.	Адыгея
0,890901513	Омская обл.	Адыгея
0,841500855	Оренбургская обл.	Адыгея
0,899706571	Орловская обл.	Адыгея
0,842849323	Пензенская обл.	Адыгея
0,814814359	Пермский край	Адыгея
0,933055523	Приморский край	Адыгея
0,87044422	Псковская обл.	Адыгея
0,844950903	Ростовская обл.	Адыгея
0,842755525	Рязанская обл.	Адыгея
0,805399987	Самарская обл.	Адыгея
0,790437003	Санкт-Петербург	Адыгея
0,834758298	Саратовская обл.	Адыгея
0,832045242	Саха (Якутия)	Адыгея
0,901770841	Сахалинская обл.	Адыгея
0,898884083	Свердловская обл.	Адыгея
0,751163264	Севастополь	Адыгея
0,863511315	Северная Осетия	Адыгея
0,811712131	Смоленская обл.	Адыгея
0,902056079	Ставропольский край	Адыгея
0,82014154	Тамбовская обл.	Адыгея
0,63079564	Татарстан	Адыгея
0,833671695	Тверская обл.	Адыгея
0,932255948	Томская обл.	Адыгея
0,839990917	Тульская обл.	Адыгея
0,649084577	Тыва	Адыгея
0,878666111	Тюменская обл.	Адыгея
0,804970798	Удмуртия	Адыгея
0,909484185	Ульяновская обл.	Адыгея
0,926396475	Хабаровский край	Адыгея
0,890474858	Хакасия	Адыгея
0,875281246	ХМАО – Югра	Адыгея
0,833429709	Челябинская обл.	Адыгея
0,734609782	Чечня	Адыгея
0,825083111	Чувашия	Адыгея
0,747356724	Чукотский АО	Адыгея
0,855897165	Ямало-Ненецкий АО	Адыгея
0,823163359	Ярославская обл.	Адыгея
0,825534406	Адыгея	Алтай
1	Алтай	Алтай
0,75371461	Алтайский край	Алтай
0,781057581	Амурская обл.	Алтай
0,861715616	Архангельская обл.	Алтай
0,702738745	Астраханская обл.	Алтай
0,50493054	Башкортостан	Алтай
0,699787371	Белгородская обл.	Алтай
0,7012908	Брянская обл.	Алтай
0,850291867	Бурятия	Алтай
0,656026197	Владимирская обл.	Алтай
0,681254853	Волгоградская обл.	Алтай
0,711390371	Вологодская обл.	Алтай
0,697634786	Воронежская обл.	Алтай
0,685060214	Дагестан	Алтай
0,74638194	Еврейская АО	Алтай
0,840937326	Забайкальский край	Алтай
0,739025461	Ивановская обл.	Алтай
0,757569862	Ингушетия	Алтай
0,696847466	Иркутская обл.	Алтай
0,748907248	Кабардино-Балкария	Алтай
0,705967732	Калининградская обл.	Алтай
0,85203879	Калмыкия	Алтай
0,706491396	Калужская обл.	Алтай
0,86618964	Камчатский край	Алтай
0,859492715	Карачаево-Черкессия	Алтай
0,76703146	Карелия	Алтай
0,776238489	Кемеровская обл.	Алтай
0,789194063	Кировская обл.	Алтай
0,865896975	Коми	Алтай
0,835512721	Костромская обл.	Алтай
0,611832273	Краснодарский край	Алтай
0,757315664	Красноярский край	Алтай
0,766373762	Крым	Алтай
0,733382067	Курганская обл.	Алтай
0,676051789	Курская обл.	Алтай
0,670187401	Ленинградская обл.	Алтай
0,593290712	Липецкая обл.	Алтай
0,934301062	Магаданская обл.	Алтай
0,712201413	Марий Эл	Алтай
0,749873447	Мордовия	Алтай
0,575027463	Москва	Алтай
0,518461176	Московская обл.	Алтай
0,88833278	Мурманская обл.	Алтай
0,726113225	Ненецкий АО	Алтай
0,721815154	Нижегородская обл.	Алтай
0,765740747	Новгородская обл.	Алтай
0,739743841	Новосибирская обл.	Алтай
0,767942678	Омская обл.	Алтай
0,811406404	Оренбургская обл.	Алтай
0,730851954	Орловская обл.	Алтай
0,692560667	Пензенская обл.	Алтай
0,668686026	Пермский край	Алтай
0,775271023	Приморский край	Алтай
0,759120167	Псковская обл.	Алтай
0,676738889	Ростовская обл.	Алтай
0,650391475	Рязанская обл.	Алтай
0,646852873	Самарская обл.	Алтай
0,696788553	Санкт-Петербург	Алтай
0,677725753	Саратовская обл.	Алтай
0,729622666	Саха (Якутия)	Алтай
0,852056614	Сахалинская обл.	Алтай
0,690130904	Свердловская обл.	Алтай
0,692871658	Севастополь	Алтай
0,684294629	Северная Осетия	Алтай
0,672450648	Смоленская обл.	Алтай
0,787379315	Ставропольский край	Алтай
0,59220341	Тамбовская обл.	Алтай
0,368823337	Татарстан	Алтай
0,701495499	Тверская обл.	Алтай
0,855841026	Томская обл.	Алтай
0,620879973	Тульская обл.	Алтай
0,700413636	Тыва	Алтай
0,761027904	Тюменская обл.	Алтай
0,786043124	Удмуртия	Алтай
0,810844339	Ульяновская обл.	Алтай
0,802549838	Хабаровский край	Алтай
0,872968261	Хакасия	Алтай
0,822186893	ХМАО – Югра	Алтай
0,609740195	Челябинская обл.	Алтай
0,522177085	Чечня	Алтай
0,594496888	Чувашия	Алтай
0,637681427	Чукотский АО	Алтай
0,864596083	Ямало-Ненецкий АО	Алтай
0,627397712	Ярославская обл.	Алтай
0,892832252	Адыгея	Алтайский край
0,75371461	Алтай	Алтайский край
1	Алтайский край	Алтайский край
0,931856118	Амурская обл.	Алтайский край
0,909220463	Архангельская обл.	Алтайский край
0,880644207	Астраханская обл.	Алтайский край
0,874551091	Башкортостан	Алтайский край
0,90693297	Белгородская обл.	Алтайский край
0,882273303	Брянская обл.	Алтайский край
0,819284079	Бурятия	Алтайский край
0,913372049	Владимирская обл.	Алтайский край
0,926108572	Волгоградская обл.	Алтайский край
0,884770695	Вологодская обл.	Алтайский край
0,920562253	Воронежская обл.	Алтайский край
0,728266204	Дагестан	Алтайский край
0,848317397	Еврейская АО	Алтайский край
0,899051669	Забайкальский край	Алтайский край
0,898079375	Ивановская обл.	Алтайский край
0,765116995	Ингушетия	Алтайский край
0,965272938	Иркутская обл.	Алтайский край
0,806498451	Кабардино-Балкария	Алтайский край
0,882699609	Калининградская обл.	Алтайский край
0,646591991	Калмыкия	Алтайский край
0,850626254	Калужская обл.	Алтайский край
0,785609391	Камчатский край	Алтайский край
0,697434827	Карачаево-Черкессия	Алтайский край
0,863547882	Карелия	Алтайский край
0,917627547	Кемеровская обл.	Алтайский край
0,854229776	Кировская обл.	Алтайский край
0,931067182	Коми	Алтайский край
0,892728515	Костромская обл.	Алтайский край